Accuracy,Precision,Recall,F1 Score,F2 Score
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.6,0.5555555555555556,1.0,0.7142857142857143,0.8620689655172413
