Gene
UBXN10
IL22RA1
MYCL
JUN
DNAJB4
GPSM2
NUDT4B
PLEKHO1
IER5
IGFN1
MYOG
BTG2
RASSF5
ENAH
TOGARAM2
EIF2AK3
LIMS3
NR4A2
CHRNA1
DGKD
NEU4
SGO1
PRSS50
ITIH3
TM4SF19
WDR1
SGMS2
NR2F1
MARCHF3
HSPA1A
PACSIN1
LGSN
VGLL2
CCN2
MICALL2
HSPB1
ABCB1
FLNC
ATP6V1FNB
PRKAG2
EGR3
GEM
MYC
EPPK1
NR4A3
KLF4
C10orf67
C10orf62
DUSP5
DUSP8
KRTAP5-1
HBB
AMPD3
ALX4
FOSL1
NUDT4
HSPB8
SLC7A1
CCDC169-SOHLH2
SOHLH2
IRS2
SERPINA5
ACTC1
FGF7
GLDN
DNAJA4
MINAR1
ABHD2
RRAD
CCL2
GAS2L2
PPP1R27
PYCR1
CNN1
IER2
PVR
CGB8
SIK1
SLC5A1
ASB9
ALAS2
SLITRK4
TKTL1
