modes,Accuracy,Precision,Recall,F1 Score,F2 Score
Random_forest,0.9,0.833333333,1,0.909090909,0.961538462
SVM,0.9,0.833333333,1,0.909090909,0.961538462
XGBoost,0.7,0.625,1,0.769230769,0.892857143
